Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Moussa Niakhate,FRA,DF,Mainz 05,Bundesliga,24,1996,32,32,2866,31.8,0.09,0.03,0.08,0.06,55.6,0.28,0.16,35.6,74,0.41,3.52,57.6,0.44,73.7,31.9,0.19,1.19,0.06,0,0
Tanguy Ndombele,FRA,MF,Tottenham,Premier League,23,1996,33,28,2091,23.2,0.13,0.09,0.06,0.1,38.9,0.77,0.3,42.8,85.3,0.95,4.35,63.1,3.02,72.2,47.6,0.47,2.46,0.34,0,0.04
Pere Milla,ESP,FWMF,Elche,La Liga,27,1992,32,22,1981,22,0.18,0.14,0.25,0.08,36.7,1.36,0.5,19.3,73.5,0.27,1.18,38.3,0.77,56.7,25.3,0.14,1.77,0.36,0.05,0.05
Dimitri Liénard,FRA,MF,Strasbourg,Ligue 1,32,1988,34,19,1829,20.3,0.1,0.2,0.14,0.19,28.6,1.38,0.39,42,73.9,1.63,4.53,66.4,0.74,65.2,43.5,0.05,3.6,0.34,0,0.05
Geoffrey Kondogbia,CTA,MFFW,Atlético Madrid,La Liga,27,1993,25,4,611,6.8,0,0,0.03,0.04,50,0.82,0.41,49.4,86.6,0.59,4.41,48.6,1.22,66.7,32,0,1.02,0.2,0,0
Ben Johnson,ENG,DF,West Ham,Premier League,20,2000,14,5,523,5.8,0.17,0,0.07,0.03,33.3,0.52,0.17,26.6,70.3,0.52,2.59,47.8,1.03,66.7,28.3,0.17,0.86,0,0,0
Kike,ESP,FW,Eibar,La Liga,30,1989,37,36,3087,34.3,0.35,0.06,0.3,0.06,38.6,2.57,0.99,18.2,67.6,0.29,0.9,41,1.14,57.4,25.4,0.38,1.95,0.17,0.09,0
Bersant Celina,KVX,MFFW,Dijon,Ligue 1,23,1996,32,25,2298,25.5,0,0.2,0.06,0.18,20.8,0.94,0.2,33.1,77.3,1.49,3.76,51.2,1.45,58.7,33.8,0.2,1.66,0.23,0,0
Alexis Saelemaekers,BEL,FW,Milan,Seria A,21,1999,32,27,2016,22.4,0.09,0.18,0.13,0.13,25,1.25,0.31,31.7,80.1,0.94,2.81,51.5,1.96,66.7,35.3,0.4,3.21,0.36,0,0
Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,36,29,2461,27.3,0.07,0.11,0.05,0.11,32,0.91,0.29,47.8,80.1,1.17,4.18,70.7,0.55,60,39.8,0.15,1.28,0,0,0
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27,1993,18,3,479,5.3,0.38,0.57,0.42,0.34,28.6,3.95,1.13,22.6,71.9,1.51,2.64,47,0.57,27.3,33.4,0.57,4.15,1.13,0,0.38
Lucas Douath,FRA,MF,Saint-Étienne,Ligue 1,16,2003,30,13,1327,14.7,0,0,0.03,0.01,20,0.34,0.07,36.8,86.6,0.14,1.77,52.7,0.88,54.2,36.3,0.07,0.95,0.07,0,0
Moussa Doumbia,MLI,MFFW,Reims,Ligue 1,25,1994,23,9,899,10,0,0.1,0.06,0.12,17.6,1.7,0.3,33.8,81.1,1.1,2.7,55.8,2.4,55.8,47.5,1.8,3.3,0.3,0,0
Kevin Volland,GER,FWMF,Monaco,Ligue 1,28,1992,35,34,2769,30.8,0.52,0.23,0.34,0.2,50.8,1.92,0.98,17.8,68.2,0.97,2.01,37.1,0.68,48.8,23.3,0.68,2.01,0.45,0.03,0
Opa Nguette,SEN,FWMF,Metz,Ligue 1,26,1994,16,13,1132,12.6,0.24,0.08,0.27,0.08,38.9,1.43,0.56,16.2,72.9,0.4,1.27,39.3,2.78,62.5,29.4,0.71,1.9,0.24,0.08,0
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,20,10,899,10,0.2,0,0.16,0.03,54.5,1.1,0.6,26.6,79.2,0.2,1.6,46.4,1.8,75,34.8,0.2,1,0,0,0
José Campaña,ESP,MF,Levante,La Liga,27,1993,9,8,748,8.3,0.12,0.24,0.17,0.17,33.3,1.44,0.48,46.6,76.8,2.65,7.71,74.5,2.89,52.2,54.2,0,1.65,0.15,0,0.07
Luis Rioja,ESP,MFDF,Alavés,La Liga,26,1993,35,25,2090,23.2,0.17,0.09,0.15,0.14,40,1.08,0.43,18.8,67,0.73,1.72,39.5,1.85,59.7,27,1.16,2.2,0.43,0.09,0
Habib Maïga,CIV,MF,Metz,Ligue 1,24,1996,31,31,2693,29.9,0.03,0.1,0.07,0.07,24,0.84,0.2,40,83.1,0.3,4.11,59.3,1,63.8,39.3,0.17,2.31,0.37,0.07,0.03
Alessandro Deiola,ITA,MF,Cagliari,Seria A,24,1995,12,7,615,6.8,0,0,0.03,0.06,20,1.25,0.25,29,84.2,0.44,2.79,49.5,0.25,50,31,0.25,2.06,0.15,0,0
Adrián López,ESP,FWMF,Osasuna,La Liga,32,1988,17,5,481,5.3,0.19,0.19,0.25,0.15,20,1.87,0.37,25.3,72.8,1.13,3.21,48.9,2.08,55,34.3,0.75,2.83,0.38,0,0
Theo Walcott,ENG,MFFW,Southampton,Premier League,31,1989,21,20,1618,18,0.17,0.17,0.17,0.07,36.7,1.67,0.61,17.1,72.4,0.78,1.5,37.2,1.11,40.8,25.4,0.72,1.56,0.22,0,0.06
Ciro Immobile,ITA,FW,Lazio,Seria A,30,1990,35,34,2849,31.7,0.63,0.19,0.63,0.21,38.6,3.6,1.39,20.9,74.7,0.98,1.96,39.1,1.01,65.3,27.8,1.14,3.79,0.57,0.03,0.09
Enda Stevens,IRL,DF,Sheffield Utd,Premier League,30,1990,30,30,2700,30,0,0.03,0.04,0.05,25,0.53,0.13,36.9,77.5,1,3.87,58.9,0.97,64.4,32.8,0.33,1.07,0.1,0,0
Ola Aina,NGA,DF,Fulham,Premier League,23,1996,31,31,2664,29.6,0.07,0.03,0.03,0.05,28.6,0.47,0.14,44.9,77.7,0.51,3.31,68.6,0.71,61.8,39.2,0.17,0.7,0.14,0,0
Jon Guridi,ESP,MF,Real Sociedad,La Liga,25,1995,17,8,831,9.2,0,0.11,0.09,0.08,25,0.87,0.22,31.7,82.3,0.76,2.61,49.2,1.74,66.7,36.3,0,1.09,0.11,0,0
Pape Matar Sarr,SEN,MF,Metz,Ligue 1,17,2002,22,18,1594,17.7,0.17,0,0.06,0.04,25.8,1.75,0.45,44.9,85.6,0.56,3.95,65,1.02,60,48.1,0.11,2.15,0.23,0,0
Cengiz Ünder,TUR,MFFW,Leicester City,Premier League,23,1997,9,1,281,3.1,0,0.65,0.1,0.58,20,3.2,0.64,29.4,70.5,3.23,3.23,57.1,3.87,60,48.7,0.65,4.19,0.65,0,0
Sandro Ramírez,ESP,FWMF,Huesca,La Liga,25,1995,20,16,1285,14.3,0.35,0.07,0.17,0.03,63.3,2.1,1.33,17.3,76,0.42,1.4,37.2,1.68,53.3,27.2,0.63,1.96,0.28,0,0
Álex Moreno,ESP,DF,Betis,La Liga,27,1993,23,20,1786,19.8,0,0.1,0.04,0.11,27.3,0.55,0.15,45.8,78.3,0.81,2.63,70.4,1.06,58.3,42.1,0.76,1.57,0.2,0.05,0
Ilija Nestorovski,MKD,FWMF,Udinese,Seria A,30,1990,22,4,701,7.8,0.26,0.26,0.5,0.18,37.5,3.08,1.16,19,75.1,0.51,1.54,36.5,0.51,50,22.8,0,2.56,0.26,0,0.13
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,23,1996,27,24,2222,24.7,0,0.04,0.02,0.11,28.6,0.28,0.08,41.8,81.7,0.77,3.12,62.1,1.34,67.3,37.3,0.2,1.01,0.08,0,0
Dion Moise Sahi,CIV,FWMF,Strasbourg,Ligue 1,18,2001,6,0,94,1,1,0,0.4,0,25,3.83,0.96,23,76.7,0,0,48,4,66.7,40,0,6,0,0,0
Claudio Terzi,ITA,DF,Spezia,Seria A,36,1984,25,22,1869,20.8,0.05,0.05,0.01,0,40,0.24,0.1,53.2,83.7,0.38,3.51,72.7,0.19,57.1,44.6,0,0.53,0.1,0,0
Frederic Guilbert,FRA,DF,Strasbourg,Ligue 1,25,1994,13,13,1114,12.4,0.08,0.32,0.05,0.1,26.7,1.21,0.32,36,68.4,1.21,2.82,66.6,1.77,62.9,36.3,0.16,1.85,0.4,0,0.08
Sergio Gómez,ESP,MFFW,Huesca,La Liga,19,2000,29,4,792,8.8,0,0.11,0.07,0.14,20,1.14,0.23,36.1,72.3,0.57,3.41,63.4,1.7,57.7,42.4,0.23,2.16,0.11,0,0
Romain Perraud,FRA,DF,Brest,Ligue 1,22,1997,36,35,3140,34.9,0.09,0.2,0.06,0.09,25.6,1.23,0.32,46.7,79.6,1.23,4.04,70.1,0.92,54.2,44.3,0.43,2.18,0.4,0.03,0
Carles Aleñá,ESP,MFFW,Getafe,La Liga,22,1998,22,15,1366,15.2,0.13,0.13,0.13,0.13,26.7,1.98,0.53,26.8,68.9,1.45,4.08,48.4,1.18,64.3,32.7,0.07,0,0,0,0
Justin Kluivert,NED,FWMF,Roma,Seria A,21,1999,2,0,19,0.2,0,0,0,0,38.9,1.99,0.77,30,54.5,5,0,41,2.56,56.1,33.3,2.11,2.56,0.33,0.22,0.11
Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,20,1999,15,8,701,7.8,0.13,0,0.08,0.05,25,0.51,0.13,26.9,72.7,0.51,1.28,54.1,0.51,33.3,27.2,0,0.77,0.13,0,0
Adrien Hunou,FRA,FWMF,Rennes,Ligue 1,26,1994,20,5,589,6.5,0.62,0,0.66,0.09,50,3.06,1.53,22.9,76.4,0.77,1.08,41.8,0.31,66.7,23.5,0.46,1.85,0,0,0
Diego Farias,BRA,FW,Spezia,Seria A,30,1990,29,17,1514,16.8,0.24,0.12,0.2,0.18,31.3,1.9,0.59,32,81.4,1.25,3.69,47.6,1.43,72.7,36.7,1.67,3.1,0.18,0,0.12
Ryan Bertrand,ENG,DF,Southampton,Premier League,30,1989,29,29,2598,28.9,0,0.03,0.02,0.04,37.5,0.28,0.1,40.9,76.8,0.83,3.36,62.4,0.17,71.4,32,0.38,0,0,0,0
Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,29,1990,37,32,2607,29,0.69,0.24,0.66,0.22,32.4,2.35,0.76,22.2,73.7,1.24,2.66,40.8,1.28,61.7,27.3,1.03,10,0,0,0
Myziane Maolida,FRA,FWMF,Nice,Ligue 1,21,1999,19,11,1077,12,0.25,0.08,0.23,0.14,21.1,1.59,0.33,22.8,75.1,1.33,2.5,41.8,2.08,51,34.5,0.83,2.67,0.33,0.08,0.08
Yann Karamoh,FRA,FWMF,Parma,Seria A,22,1998,24,16,1294,14.4,0.14,0.07,0.23,0.14,40.9,1.53,0.63,19.9,77.2,1.11,2.29,37.6,2.57,67.3,30.4,0.9,2.5,0.28,0,0.07
Kyle Edwards,ENG,MFFW,West Brom,Premier League,22,1998,5,1,118,1.3,0,0,0.08,0,50,1.53,0.76,23.1,85.7,0,2.31,38.5,0.77,25,29.2,1.54,0.77,0,0,0
Martin Erlic,CRO,DF,Spezia,Seria A,22,1998,27,19,1798,20,0.15,0.05,0.07,0.03,33.3,0.45,0.15,44.5,85.6,0,2.05,62.3,0.2,66.7,32.9,0,0.2,0.05,0,0
Peter Pekarík,SVK,DF,Hertha BSC,Bundesliga,33,1986,23,22,1692,18.8,0.16,0.05,0.07,0.05,55.6,0.48,0.27,41.5,82.4,0.8,3.4,58.7,0.43,72.7,31.2,0.16,1.06,0.05,0,0
Ernesto Torregrossa,ITA,FW,Sampdoria,Seria A,28,1992,6,1,170,1.9,0.53,0,0.32,0.21,50,2.12,1.06,16.8,72.7,0.53,0.53,38.4,1.05,33.3,24.2,0.53,2.11,0,0,0
Antonee Robinson,USA,DF,Fulham,Premier League,22,1997,28,24,2162,24,0,0,0.02,0.07,36.4,0.46,0.17,40.9,72.6,1.79,3.63,69,2,70.6,41.2,0.25,2.21,0.08,0,0
Gary Cahill,ENG,DF,Crystal Palace,Premier League,34,1985,20,20,1800,20,0.05,0.05,0.03,0.03,27.3,0.55,0.15,29.5,84.6,0.05,1.7,45.7,0.05,50,21.8,0,1.78,0.35,0,0.09
Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,30,30,2482,27.6,0.54,0.33,0.39,0.21,37.4,3.3,1.23,20.1,62.1,1.56,2.54,44.6,1.38,54.3,23.8,0.65,0.34,0,0,0
Timothee Pembele,FRA,DF,Paris S-G,Ligue 1,17,2002,6,3,383,4.3,0.23,0,0.23,0.05,50,0.94,0.47,54.4,90.3,0.7,2.09,71.4,1.63,53.8,50.2,0.7,1.4,0,0,0
Almamy Touré,MLI,DF,Eint Frankfurt,Bundesliga,24,1996,17,8,704,7.8,0.13,0.13,0.14,0.15,30.8,1.66,0.51,28.8,65.8,2.69,4.23,56.9,1.67,68.4,32.8,0,3.21,0.38,0,0
Ruben Loftus-Cheek,ENG,MFFW,Fulham,Premier League,24,1996,30,21,1909,21.2,0.05,0,0.15,0.07,21.6,1.74,0.38,28.1,83.1,0.57,3.35,47.8,2.22,61.8,35.4,0.61,2.5,0,0,0
Mario Pašalić,CRO,MFFW,Atalanta,Seria A,25,1995,25,10,1122,12.5,0.48,0.16,0.36,0.22,63.2,1.52,0.96,45.8,85.9,2.08,4.96,63.7,1.2,68.2,48.2,0.96,3.92,0.56,0,0.08
Saúl Ñíguez,ESP,MFDF,Atlético Madrid,La Liga,25,1994,33,22,2033,22.6,0.09,0.04,0.12,0.09,30.3,1.46,0.44,44,83.7,1.11,3.23,64.2,0.53,66.7,36.2,0.18,1.55,0.13,0,0
Orel Mangala,BEL,MF,Stuttgart,Bundesliga,22,1998,24,24,2109,23.4,0.04,0.13,0.06,0.06,30.8,1.11,0.34,37.6,84.7,0.51,3.46,56.8,2.65,72.9,41.8,0.3,2.26,0.21,0,0
Mateo Klimowicz,GER,FWMF,Stuttgart,Bundesliga,20,2000,25,12,1198,13.3,0.08,0.08,0.29,0.09,30.3,2.48,0.75,19,75.3,0.83,2.11,38,1.8,54.5,27,0.98,2.71,0.6,0.15,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,35,34,2967,33,0.48,0.12,0.5,0.11,44.8,2.03,0.91,19.5,71.1,0.67,1.82,38.4,0.42,51.9,19.8,0.52,0.45,0.1,0,0.03
Johan Mojica,COL,DFFW,Atalanta,Seria A,27,1992,11,3,299,3.3,0,0,0.03,0.09,28.6,0.52,0.15,55.2,80.2,1.52,4.85,62.8,0.97,43.3,40.7,0.15,1.04,0,0,0
Matteo Darmian,ITA,DF,Inter,Seria A,30,1989,26,14,1160,12.9,0.23,0.23,0.09,0.12,55.6,0.7,0.39,32.6,81,1.01,2.48,49.4,0.16,20,27.9,0.47,0.12,0.04,0,0
Arnaud Nordin,FRA,MFFW,Saint-Étienne,Ligue 1,22,1998,32,20,1771,19.7,0.2,0.2,0.24,0.15,29.5,2.24,0.66,19,74.4,0.91,1.57,38.5,1.62,56.1,28.4,0.71,3.15,0.51,0.15,0.05
Quentin Boisgard,FRA,MFFW,Lorient,Ligue 1,23,1997,24,17,1314,14.6,0.14,0.14,0.13,0.12,29.2,1.64,0.48,25.3,65.5,0.62,2.53,51.2,1.3,65.5,31.6,0.34,0.89,0.08,0.08,0
Can Bozdogan,GER,MF,Schalke 04,Bundesliga,19,2001,14,5,651,7.2,0,0.28,0.06,0.07,25,1.11,0.28,23.3,74.7,0.28,1.39,48.9,0.69,27.8,34.6,0.56,1.3,0.13,0.03,0
Emmanuel Gyasi,GHA,FW,Spezia,Seria A,26,1994,37,32,2851,31.7,0.13,0.19,0.21,0.13,53.3,0.95,0.51,24.9,83.3,0.91,1.86,39.2,1.17,71.2,31.5,1.17,1.86,0.28,0.03,0
Grischa Prömel,GER,MF,Union Berlin,Bundesliga,25,1995,24,21,1816,20.2,0.15,0.05,0.09,0.04,25,0.99,0.25,28.6,77.7,0.15,2.38,48.2,0.64,61.9,27.7,0.2,1.88,0.15,0,0.05
Steven Zuber,SUI,DFMF,Eint Frankfurt,Bundesliga,28,1991,20,6,585,6.5,0,0.46,0.12,0.29,20,1.54,0.31,39.4,76,1.69,4.62,64,2.15,58.3,45.5,1.08,3.38,0.62,0,0
Marcel Sabitzer,AUT,MF,RB Leipzig,Bundesliga,26,1994,27,24,2026,22.5,0.36,0.13,0.32,0.1,37.5,2.49,0.93,47.5,79.5,2.13,7.07,71.1,0.71,66.7,45.9,0.27,2.62,0.22,0,0.04
Coke,ESP,DF,Levante,La Liga,33,1987,17,11,835,9.3,0,0,0.04,0.03,20,1.08,0.22,38.8,81.7,1.18,4.41,59.8,0.54,55.6,33.5,0.11,2.13,0.24,0,0.06
Lucas Torró,ESP,MF,Osasuna,La Liga,26,1994,25,17,1548,17.2,0,0.06,0.09,0.03,41.2,0.99,0.41,30.8,78.4,0.17,2.27,50.2,0.64,73.3,26.7,0.12,1.4,0.23,0,0.06
Mattias Svanberg,SWE,MF,Bologna,Seria A,21,1999,34,24,1852,20.6,0.24,0.1,0.2,0.12,29.8,2.77,0.83,25.5,80.3,0.87,3.4,44.6,1.07,66.7,28.8,0.1,2.38,0.29,0.05,0
Jean-Paul Boëtius,NED,MFFW,Mainz 05,Bundesliga,26,1994,31,23,2065,22.9,0.09,0.17,0.12,0.26,31,1.26,0.39,24.5,69.5,1,3.71,47.5,1.18,67.5,30.1,0.31,2.14,0,0,0
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,22,1997,34,34,3060,34,0.06,0.12,0.03,0.07,50,0.24,0.12,52.2,86,0.97,3.68,73.9,1.18,60.6,45.2,0.09,1.68,0.24,0,0
Raúl Guti,ESP,MF,Elche,La Liga,23,1996,36,33,2862,31.8,0.09,0.03,0.05,0.02,22.2,0.85,0.19,33.9,84.1,0.22,2.3,49.5,1.42,63.4,35.3,0.16,0.82,0.13,0,0.03
Niklas Stark,GER,DFMF,Hertha BSC,Bundesliga,25,1995,33,31,2793,31,0,0,0.03,0.01,27.3,0.35,0.1,41.6,84.9,0.35,3.42,60,0.06,66.7,36.5,0.06,0.32,0,0,0
Bruno Fernandes,POR,MF,Manchester Utd,Premier League,25,1994,37,35,3099,34.4,0.52,0.35,0.45,0.32,36.4,3.19,1.16,49.5,74.6,2.79,6.6,78.6,0.76,46.4,48.3,0.38,4.88,0.78,0,0.06
Aaron Ramsey,WAL,MF,Juventus,Seria A,29,1990,22,13,1089,12.1,0.17,0.33,0.41,0.3,43.5,1.9,0.83,51.7,85.5,1.82,4.88,71.2,0.99,63.2,51.2,0.74,4.79,0.58,0,0
Jérémy Le Douaron,FRA,FWMF,Brest,Ligue 1,22,1998,28,7,816,9.1,0.11,0.22,0.19,0.05,53.8,1.43,0.77,15.2,70.1,0.55,0.88,38,0.99,40.9,23,0.44,1.76,0.44,0,0
Óscar Plano,ESP,MFFW,Valladolid,La Liga,29,1991,36,30,2517,28,0.18,0.18,0.15,0.06,24.4,1.47,0.36,22.7,74,0.61,2.43,43,0.43,48,26.2,0.07,1.71,0.21,0.04,0
Georginio Rutter,FRA,FWMF,Rennes,Ligue 1,18,2002,4,0,44,0.5,0,0,0,0.2,42.9,2.61,1.12,18,60,0,0,43,2.96,57.1,25.9,0,2.59,0,0,0
Carlos Fernández,ESP,FW,Sevilla,La Liga,24,1996,5,2,143,1.6,0,0,0.06,0.06,50,1.26,0.63,18.1,74.4,0,1.25,35.6,0.63,50,20.6,0.63,3.13,0,0,0
Juraj Kucka,SVK,MFFW,Parma,Seria A,33,1987,28,28,2334,25.9,0.27,0.08,0.26,0.07,26.8,2.16,0.58,26,73.2,0.42,2.55,49.2,1.24,65.3,28.9,0.08,1.93,0.27,0.04,0
Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29,1991,13,13,1145,12.7,0,0.08,0.01,0.03,25,0.31,0.08,34.4,76.8,1.02,1.97,52.8,0.24,60,25,0,1.36,0.16,0,0
Djibril Sow,SUI,MF,Eint Frankfurt,Bundesliga,23,1997,28,25,2175,24.2,0,0.08,0.02,0.07,27.3,0.46,0.12,44.4,88.5,0.5,4.71,62.1,0.74,64.3,40.5,0.08,1.65,0.21,0,0
Conor Gallagher,ENG,MF,West Brom,Premier League,20,2000,30,28,2531,28.1,0.07,0.07,0.06,0.06,24.1,1.03,0.25,26.4,77.8,0.53,1.92,47.4,1.35,64.4,31.8,0.32,1.46,0.11,0,0
Omar Mascarell,ESP,MF,Schalke 04,Bundesliga,27,1993,24,21,1762,19.6,0.05,0.05,0.02,0.03,30,0.51,0.15,37,82.2,0.36,3.37,55.6,0.71,70,30.9,0,0.61,0.05,0,0
Ethan Ampadu,WAL,DFMF,Sheffield Utd,Premier League,19,2000,25,23,2089,23.2,0,0,0.01,0.04,28.6,0.3,0.09,36.9,80.5,0.69,3.62,58.4,0.39,69.2,31.2,0,3.38,0.52,0.1,0
Armando Izzo,ITA,DF,Torino,Seria A,28,1992,25,24,2004,22.3,0.09,0,0.06,0.02,20,0.67,0.13,43.3,82.7,0.31,3.36,63.4,0.31,53.8,40.1,0,1.12,0,0,0
Benjamin Bourigeaud,FRA,MFFW,Rennes,Ligue 1,26,1994,37,29,2552,28.4,0.21,0.18,0.2,0.19,37.5,2.26,0.85,51.2,77.3,1.48,6.27,75.5,0.49,58.3,45.7,0.21,1.19,0.17,0,0
Joel Ward,ENG,DF,Crystal Palace,Premier League,30,1989,26,25,2256,25.1,0,0.04,0,0.02,50,0.08,0.04,31.2,72.6,0.4,2.75,54,0.4,71.4,23,0,0.6,0.08,0,0
Ritsu Doan,JPN,MFFW,Arminia,Bundesliga,22,1998,34,33,2768,30.8,0.16,0.06,0.17,0.11,28.6,2.28,0.65,17.7,63.4,1.07,2.6,43.2,2.21,52.3,30,0.94,2.89,0.16,0.06,0
Ross Barkley,ENG,MF,Aston Villa,Premier League,26,1993,24,18,1531,17,0.18,0.06,0.19,0.21,28.9,2.23,0.65,36.4,81,1.59,4.47,55.5,2,72.3,35.8,0.65,2.14,0.25,0,0
Lorenzo Insigne,ITA,FW,Napoli,Seria A,29,1991,35,33,2865,31.8,0.6,0.25,0.51,0.27,29.4,4.27,1.26,46.7,79.8,2.77,5.72,71.7,1.86,59.6,52.7,1.64,4.81,0.53,0.06,0.09
Andrei Girotto,BRA,DFMF,Nantes,Ligue 1,28,1992,34,29,2668,29.6,0.03,0.03,0.04,0,24.1,0.98,0.24,39.8,82.2,0.27,3.34,60.3,0.17,62.5,31.4,0,0.64,0.1,0,0.07
Sam Lammers,NED,FWMF,Atalanta,Seria A,23,1997,15,1,291,3.2,0.63,0,0.41,0.09,44.4,2.78,1.24,29.7,75.4,0.94,2.81,55.6,5,80,46.9,1.56,3.13,0.31,0.31,0
Simon Sohm,SUI,MF,Parma,Seria A,19,2001,18,8,899,10,0.1,0,0.12,0.03,20,0.5,0.1,37,85.6,0.3,3.4,50.9,0.9,56.3,32.2,0.1,1.2,0.1,0.1,0
Nico Schlotterbeck,GER,DF,Union Berlin,Bundesliga,20,1999,16,15,1285,14.3,0.07,0,0.09,0.01,34.8,1.61,0.56,45.7,81.5,0.14,4.34,69,0.63,69.2,44.7,0,1.05,0.07,0,0
Domenico Criscito,ITA,DF,Genoa,Seria A,33,1986,23,20,1726,19.2,0.05,0,0.05,0.02,20,0.26,0.05,44.6,81.5,0.47,4.17,65,0.21,44.4,39.1,0,2.73,0.4,0,0.06
Alex Iwobi,NGA,FWDF,Everton,Premier League,24,1996,30,17,1542,17.1,0.06,0.12,0.06,0.11,20,0.88,0.18,31,77,1.52,4.27,51.5,2.69,64.8,40.8,0.82,2.69,0.29,0,0
Jean-Ricner Bellegarde,FRA,MFFW,Strasbourg,Ligue 1,22,1998,36,25,2086,23.2,0.04,0.04,0.12,0.07,19.2,1.12,0.22,26.5,77.8,0.82,1.77,48.7,2.16,61,36.8,0.86,3.37,0.11,0,0.11
Papu Gómez,ARG,MFFW,Sevilla,La Liga,32,1988,18,11,914,10.2,0.29,0.1,0.12,0.11,55.6,1.77,0.98,50.3,87.1,1.18,3.53,70.7,1.27,61.9,56.1,1.18,3.63,0.2,0,0
Iñigo Martínez,ESP,DF,Athletic Club,La Liga,29,1991,28,28,2519,28,0.04,0,0.05,0.02,41.2,0.61,0.25,42.6,83.6,0.14,3.18,60.7,0.21,75,36.2,0.04,0.54,0,0,0
Aboubakar Kamara,MTN,FWDF,Fulham,Premier League,25,1995,11,2,315,3.5,0,0,0.11,0.11,27.3,1.78,0.48,26.3,71.9,1.14,3.14,37.7,2.26,58.3,28.9,0.32,2.9,0.16,0,0
Rick Karsdorp,NED,DF,Roma,Seria A,25,1995,34,28,2544,28.3,0.04,0.21,0.03,0.18,30.8,0.46,0.14,40,83.8,1.41,3.99,54.1,0.53,71.4,33.9,0.25,1.55,0.28,0,0
Jordan Lotomba,SUI,DF,Nice,Ligue 1,21,1998,30,24,2123,23.6,0.04,0,0.02,0.07,28.6,0.3,0.08,50.2,82,0.55,3.14,71.3,1.19,56,44.6,0.3,1.23,0.21,0,0
John Lundstram,ENG,MF,Sheffield Utd,Premier League,26,1994,28,23,2032,22.6,0,0.09,0.09,0.05,21.1,0.84,0.18,37.3,81,0.53,2.61,55,0.71,64,36.3,0.09,1.64,0.13,0,0
Joël Veltman,NED,DF,Brighton,Premier League,28,1992,28,25,2281,25.3,0.04,0.04,0.06,0.04,28.6,0.55,0.16,45.5,77.3,1.38,4.78,69.8,0.83,63.6,40,0.2,1.62,0.04,0,0
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,21,1999,32,13,1399,15.5,0.19,0,0.09,0.02,36.8,1.22,0.45,45.7,90.8,0.65,2.19,60.1,0.65,71.4,41.7,0,3.46,0.53,0.03,0.09
Paulo Dybala,ARG,FW,Juventus,Seria A,26,1993,20,14,1132,12.6,0.32,0.24,0.37,0.23,28.8,4.13,1.19,45.9,82,2.06,5.4,70.8,2.14,62.8,48.8,0.95,4.92,0.24,0,0.08
Kamil Glik,POL,DF,Benevento,Seria A,32,1988,36,36,3206,35.6,0.06,0.03,0.09,0.03,37.9,0.81,0.31,31.9,89.7,0,1.18,47,0.11,66.7,23.2,0,0.37,0.03,0,0
Bobby Reid,JAM,MFDF,Fulham,Premier League,27,1993,33,28,2372,26.4,0.19,0.08,0.18,0.05,23.5,1.29,0.3,23.2,74.1,1.06,2.27,42.4,1.06,54.9,28.3,0.64,1.25,0.19,0,0
Jérôme Roussillon,FRA,DF,Wolfsburg,Bundesliga,27,1993,20,14,1229,13.7,0,0.15,0.04,0.11,18.2,0.81,0.15,36.9,75,0.8,3.28,61.5,0.88,54.5,34.4,0.58,1.39,0.22,0.07,0
Christian Kouamé,CIV,FW,Fiorentina,Seria A,22,1997,33,9,995,11.1,0.09,0.09,0.32,0.11,31.6,1.72,0.54,22.3,75.2,0.63,1.17,43.9,1.35,68.2,29.3,0.72,1.53,0.27,0.09,0
Burak Yılmaz,TUR,FW,Lille,Ligue 1,35,1985,28,23,2051,22.8,0.7,0.22,0.45,0.18,44.3,2.68,1.18,17.5,75.3,0.18,0.96,34.7,0.66,48.4,20.5,0.83,2.41,0.31,0,0
Leon Goretzka,GER,MF,Bayern Munich,Bundesliga,25,1995,24,18,1705,18.9,0.26,0.26,0.22,0.14,31.7,2.16,0.69,49.3,88,1.43,5.66,67.7,0.63,63.2,42.8,0.26,2.43,0.74,0.11,0.11
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,1989,29,26,2332,25.9,0.39,0.12,0.41,0.11,33.9,2.16,0.73,20,75,1.04,1.93,34.9,0.46,42.9,23.4,1.08,1.89,0.09,0.09,0
