Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Kévin Monnet-Paquet,FRA,MFFW,Saint-Étienne,Ligue 1,31,1988,16,7,564,6.3,0,0,0.03,0.05,0,0.96,0,24,67.4,0.48,1.43,50.5,1.11,36.8,33.3,0.63,1.27,0,0,0
Stefano Sturaro,ITA,MF,Genoa,Seria A,27,1993,6,6,445,4.9,0.2,0,0.08,0.04,0,0.21,0,35.3,70.6,0.41,3.47,48.3,0.21,50,28.1,0.43,1.06,0.21,0,0
Fred,BRA,MF,Manchester Utd,Premier League,27,1993,30,27,2390,26.6,0.04,0,0.07,0.09,28,0.94,0.26,58.5,88.2,0.68,5.6,78.6,0.9,75,52.1,0.08,2.52,0.19,0,0
James Tarkowski,ENG,DF,Burnley,Premier League,27,1992,36,36,3240,36,0.03,0,0.07,0.02,27.3,0.61,0.17,23.3,72,0.36,2.11,45.8,0.31,84.6,18.5,0.03,0.69,0,0,0
Mariano,DOM,FW,Real Madrid,La Liga,26,1993,16,5,513,5.7,0.18,0,0.26,0.04,20,2.63,0.53,13.7,75,0.53,1.23,29.3,2.11,66.7,19.6,0.53,1.58,0.18,0,0
Antonio Barragán,ESP,DF,Elche,La Liga,33,1987,27,26,2235,24.8,0,0.12,0.02,0.04,0,0.2,0,44.2,82.9,0.6,2.78,61.3,0.36,56.3,35.4,0.08,3,0,0,0
Lewis Dunk,ENG,DF,Brighton,Premier League,28,1991,33,33,2931,32.6,0.15,0,0.08,0.03,43.3,0.92,0.4,59.4,90,0.06,2.15,74,0.15,83.3,48.2,0,0.58,0,0,0
Kilian Ludewig,GER,DF,Schalke 04,Bundesliga,20,2000,6,6,520,5.8,0,0,0,0.05,0,0,0,37.9,74.8,1.38,4.14,61.2,1.03,60,33.1,0.17,1.55,0,0,0
Salif Sané,SEN,DF,Schalke 04,Bundesliga,29,1990,14,11,1071,11.9,0,0,0.03,0.03,14.3,0.59,0.08,47.8,83.3,0.42,3.19,71.2,0.59,77.8,39.1,0,0.59,0,0,0
Riccardo Marchizza,ITA,DF,Spezia,Seria A,22,1998,24,17,1561,17.3,0,0.12,0.03,0.06,0,0.4,0,44.5,79.6,0.69,2.08,64.2,0.64,57.9,39.9,0.23,1.39,0.17,0,0
Mark Noble,ENG,MF,West Ham,Premier League,33,1987,21,8,712,7.9,0,0,0,0.03,0,0.13,0,47.3,87.2,0.76,3.16,60.1,0.38,50,38.4,0.25,0.89,0,0,0
Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,1996,21,15,1258,14,0.07,0.07,0.04,0.09,31.3,1.14,0.36,56.1,86.1,1.07,4.57,75.3,1.79,80.6,57.3,0.29,0.33,0,0,0
Koke,ESP,MF,Atlético Madrid,La Liga,28,1992,37,34,3021,33.6,0.03,0.06,0.06,0.08,41.2,0.51,0.21,64.3,87.7,1.07,6.46,82.3,0.83,70,56.7,0.12,2.14,0.18,0,0
Oriol Romeu,ESP,MF,Southampton,Premier League,28,1991,21,20,1763,19.6,0.05,0.05,0.02,0.06,28.6,0.71,0.2,53.2,82.8,0.77,4.44,74.6,0.56,84.6,45.4,0.15,1.79,0.2,0,0
Issouf Sissokho,MLI,MF,Bordeaux,Ligue 1,18,2002,6,0,78,0.9,1.11,0,0.11,0,50,2.31,1.15,45.6,93.2,0,6.67,65.6,0,0,44.4,0,1.11,1.11,0,0
Billy Sharp,ENG,FW,Sheffield Utd,Premier League,34,1986,16,7,735,8.2,0.37,0,0.33,0.07,42.9,0.86,0.37,10.5,69.9,0.37,0.73,24.4,0.85,70,16.3,0.49,0.61,0,0,0
Loren Morón,ESP,FWMF,Betis,La Liga,26,1993,26,9,991,11,0.09,0,0.22,0.04,13,2.09,0.27,12.4,70.1,0.36,1.91,31.6,0.91,43.5,19.9,0.09,1.73,0.09,0,0
Pol Lirola,ESP,DFFW,Fiorentina,Seria A,22,1997,12,4,498,5.5,0,0.18,0.05,0.09,0,0.36,0,37.8,71.7,0.73,4.18,64,1.45,61.5,37.1,1.27,1.82,0.18,0,0
Lazar Samardzic,GER,MFFW,RB Leipzig,Bundesliga,18,2002,7,2,200,2.2,0,0.45,0,0.23,0,0.45,0,23.6,75.4,0.45,1.82,43.6,2.73,54.5,29.5,0,1.82,0.45,0,0
Pedro López Muñoz,ESP,DF,Huesca,La Liga,36,1983,22,10,1067,11.9,0,0.08,0.01,0.07,0,0.25,0,46.1,81.8,1.09,3.87,66,0.67,50,36.3,0,1.34,0.17,0,0
Conor Hourihane,IRL,MF,Aston Villa,Premier League,29,1991,4,3,225,2.5,0.4,0.4,0.2,0.32,40,2,0.8,46.4,74.8,0.8,3.6,68,0,0,34.4,0,3.2,0.4,0,0
Andy Pelmard,FRA,DF,Nice,Ligue 1,20,2000,19,12,1207,13.4,0,0,0.01,0,50,0.15,0.07,62.3,91.3,0.15,2.69,77.1,0.52,77.8,54.5,0.07,0.3,0.07,0,0
Steven Skrzybski,GER,FWDF,Schalke 04,Bundesliga,27,1992,13,3,419,4.7,0,0,0.28,0.02,14.3,1.5,0.21,16.2,59.8,0.43,1.91,41.1,1.06,71.4,27.7,0.21,1.7,0.21,0,0.21
Willem Geubbels,FRA,FWMF,Monaco,Ligue 1,18,2001,14,2,294,3.3,0.3,0,0.3,0.03,33.3,1.84,0.61,22.7,69.4,0.61,0.91,54.5,0,0,28.8,1.21,1.82,0,0,0
