Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,62.21911727
Jeffrey Gouweleeuw,NED,DF,Augsburg,Bundesliga,29,62.2123155
Lucas Olaza,URU,DF,Valladolid,La Liga,26,62.19120869
Tolgay Arslan,GER,MF,Udinese,Seria A,29,62.19119018
George Baldock,ENG,DF,Sheffield Utd,Premier League,27,62.13848788
Randal Kolo Muani,FRA,FW,Nantes,Ligue 1,21,62.1055413
Pablo Piatti,ARG,MFFW,Elche,La Liga,31,62.08166143
Daniel Didavi,GER,FWMF,Stuttgart,Bundesliga,30,62.05607163
Admir Mehmedi,SUI,MFFW,Wolfsburg,Bundesliga,29,62.00947881
Rafael Czichos,GER,DF,Köln,Bundesliga,30,61.92590907
Marco Parolo,ITA,DFMF,Lazio,Seria A,35,61.92374756
Daniel Congré,FRA,DF,Montpellier,Ligue 1,35,61.90671844
João Moutinho,POR,MF,Wolves,Premier League,33,61.88445593
Scott McTominay,SCO,MF,Manchester Utd,Premier League,23,61.87603116
Romain Philippoteaux,FRA,MFFW,Brest,Ligue 1,32,61.79035462
Solly March,ENG,DF,Brighton,Premier League,26,61.78435922
Nahuel Molina,ARG,DF,Udinese,Seria A,22,61.7737237
Leander Dendoncker,BEL,MFDF,Wolves,Premier League,25,61.77074026
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,30,61.75972542
Adam Lallana,ENG,MFFW,Brighton,Premier League,32,61.72848056
Danny Ings,ENG,FW,Southampton,Premier League,28,61.72707484
Marco Majouga,FRA,MFFW,Nîmes,Ligue 1,19,61.7267809
Florian Neuhaus,GER,MF,M'Gladbach,Bundesliga,23,61.71166757
Trézéguet,EGY,FW,Aston Villa,Premier League,25,61.70004569
Josh Sargent,USA,FWMF,Werder Bremen,Bundesliga,20,61.69458002
Fernando Forestieri,ITA,FWMF,Udinese,Seria A,30,61.66379779
Mama Samba Baldé,GNB,FW,Dijon,Ligue 1,24,61.65707366
Fabián Balbuena,PAR,DF,West Ham,Premier League,28,61.65698369
Dennis Man,ROU,FWMF,Parma,Seria A,21,61.65493513
Luca Ceppitelli,ITA,DF,Cagliari,Seria A,30,61.65220215
Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,30,61.65111866
Amos Pieper,GER,DF,Arminia,Bundesliga,22,61.61833771
Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,20,61.58642297
Sergi Enrich,ESP,FW,Eibar,La Liga,30,61.46639778
Papu Gómez,ARG,FWMF,Atalanta,Seria A,32,61.45046304
Krzysztof Piątek,POL,FW,Hertha BSC,Bundesliga,25,61.43958117
Jérémy Morel,MAD,DF,Lorient,Ligue 1,36,61.42799072
Damián Suárez,URU,DF,Getafe,La Liga,32,61.40971884
Che Adams,SCO,FW,Southampton,Premier League,24,61.4088974
Sheraldo Becker,SUR,FWMF,Union Berlin,Bundesliga,25,61.40650314
Joakim Nilsson,SWE,DF,Arminia,Bundesliga,26,61.4047762
Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,61.39669056
Dušan Vlahović,SRB,FW,Fiorentina,Seria A,20,61.3564779
Jeremy Toljan,GER,DF,Sassuolo,Seria A,25,61.32418585
Mauro Arambarri,URU,MF,Getafe,La Liga,24,61.32104707
Guido Carrillo,ARG,FW,Elche,La Liga,29,61.29832691
Vedat Muriqi,KVX,FW,Lazio,Seria A,26,61.26864061
Makoto Hasebe,JPN,DFMF,Eint Frankfurt,Bundesliga,36,61.20763606
Trevoh Chalobah,ENG,DFMF,Lorient,Ligue 1,21,61.20533542
Robbie Brady,IRL,MF,Burnley,Premier League,28,61.15437219
Christian Gebauer,AUT,MFFW,Arminia,Bundesliga,26,61.13247628
Wesley Lautoa,NCL,MFDF,Dijon,Ligue 1,32,61.11549409
Manuel Prietl,AUT,MF,Arminia,Bundesliga,28,61.07829526
Nicola Murru,ITA,DF,Torino,Seria A,25,61.07482177
Emerson,BRA,DF,Betis,La Liga,21,61.07352186
Borna Sosa,CRO,DF,Stuttgart,Bundesliga,22,61.05915897
Corentin Tolisso,FRA,MF,Bayern Munich,Bundesliga,25,61.0288889
Nathanael Mbuku,FRA,MFFW,Reims,Ligue 1,18,61.02777528
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,60.99732701
Manolo Gabbiadini,ITA,FW,Sampdoria,Seria A,28,60.99580535
Moussa Djenepo,MLI,MF,Southampton,Premier League,22,60.9765122
Aarón Martín,ESP,DF,Mainz 05,Bundesliga,23,60.96181613
Ángel Montoro,ESP,MF,Granada,La Liga,32,60.94726386
Amadou Diawara,GUI,MF,Roma,Seria A,23,60.91845192
Papa Ndiaga Yade,SEN,FWMF,Metz,Ligue 1,20,60.8777084
Adama Traoré,ESP,FW,Wolves,Premier League,24,60.83266157
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,60.80551952
Yayah Kallon,SLE,FWMF,Genoa,Seria A,19,60.79145884
Shkodran Mustafi,GER,DF,Schalke 04,Bundesliga,28,60.79088244
Romain Thomas,FRA,DF,Angers,Ligue 1,32,60.79018618
Ben Godfrey,ENG,DF,Everton,Premier League,22,60.77075071
Luke Shaw,ENG,DF,Manchester Utd,Premier League,25,60.76100027
Gianluca Scamacca,ITA,FW,Genoa,Seria A,21,60.75821742
Abdul Majeed Waris,GHA,FWMF,Strasbourg,Ligue 1,28,60.75633045
Boubacar Kamara,FRA,MF,Marseille,Ligue 1,20,60.75591892
William,BRA,DFFW,Schalke 04,Bundesliga,25,60.75293769
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25,60.75215802
Eden Hazard,BEL,FWMF,Real Madrid,La Liga,29,60.75197839
Vagner Gonçalves,CPV,FWMF,Metz,Ligue 1,24,60.70017939
Ronaël Pierre-Gabriel,FRA,DF,Brest,Ligue 1,22,60.66047408
Lucas Leiva,BRA,MF,Lazio,Seria A,33,60.65939502
Hal Robson-Kanu,WAL,FWMF,West Brom,Premier League,31,60.64996442
Jeff Hendrick,IRL,MF,Newcastle Utd,Premier League,28,60.63637212
Erik Thommy,GER,DFFW,Stuttgart,Bundesliga,25,60.59760413
Isaac Hayden,ENG,MFDF,Newcastle Utd,Premier League,25,60.57074183
Manuel Gulde,GER,DF,Freiburg,Bundesliga,29,60.52885104
Recio,ESP,MF,Eibar,La Liga,29,60.52181235
Fábio Silva,POR,FW,Wolves,Premier League,18,60.52123229
Gonçalo Paciência,POR,FW,Schalke 04,Bundesliga,25,60.50558774
Gabriel Paulista,BRA,DF,Valencia,La Liga,29,60.4899962
Mikel Vesga,ESP,MF,Athletic Club,La Liga,27,60.4817675
Andre-Frank Zambo Anguissa,CMR,MF,Fulham,Premier League,24,60.47959388
Paolo Ghiglione,ITA,DFMF,Genoa,Seria A,23,60.47750134
Iñaki Williams,ESP,FW,Athletic Club,La Liga,26,60.42255693
Luca Vignali,ITA,DF,Spezia,Seria A,24,60.40820918
Youssoufa Moukoko,GER,FWMF,Dortmund,Bundesliga,15,60.36193748
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,23,60.35915743
Emre Mor,TUR,FWMF,Celta Vigo,La Liga,23,60.33392129
Nacho,ESP,DF,Valladolid,La Liga,31,60.33386457
John McGinn,SCO,MF,Aston Villa,Premier League,25,60.30390321
Matt Targett,ENG,DF,Aston Villa,Premier League,24,60.27440246
Federico Valverde,URU,MF,Real Madrid,La Liga,22,60.2701334
Semi Ajayi,NGA,DF,West Brom,Premier League,26,60.26682494
Niclas Füllkrug,GER,FWMF,Werder Bremen,Bundesliga,27,60.25276488
Vincent Pajot,FRA,MF,Metz,Ligue 1,29,60.22421968
Francesco Caputo,ITA,FW,Sassuolo,Seria A,32,60.18499655
Óscar de Marcos,ESP,DFMF,Athletic Club,La Liga,31,60.16484593
Timothée Kolodziejczak,FRA,DF,Saint-Étienne,Ligue 1,28,60.15812881
Kévin Gameiro,FRA,FW,Valencia,La Liga,33,60.14366299
Xavier Chavalerin,FRA,MF,Reims,Ligue 1,29,60.1376092
Rubén Sobrino,ESP,FWMF,Cádiz,La Liga,28,60.1334777
Alessandro Tuia,ITA,DF,Benevento,Seria A,30,60.12708563
Aleksandar Mitrović,SRB,FW,Fulham,Premier League,25,60.11776461
Muzinga Ngonda,COD,DF,Dijon,Ligue 1,25,60.0724431
Mijat Gaćinović,SRB,DFMF,Hoffenheim,Bundesliga,25,60.06575655
Martin Ødegaard,NOR,MF,Arsenal,Premier League,21,60.03711222
James Ward-Prowse,ENG,MF,Southampton,Premier League,25,60.0129521
Jimmy Dunne,IRL,DF,Burnley,Premier League,22,59.99908126
Paul Pogba,FRA,MFFW,Manchester Utd,Premier League,27,59.995534
Kenedy,BRA,FWMF,Granada,La Liga,24,59.97589726
Fábio,BRA,DF,Nantes,Ligue 1,30,59.95977647
Harrison Reed,ENG,MF,Fulham,Premier League,25,59.95854149
Boulaye Dia,SEN,FWMF,Reims,Ligue 1,23,59.94545843
Franco Vázquez,ARG,FWMF,Sevilla,La Liga,31,59.89427971
Ricardo Rodríguez,SUI,DF,Torino,Seria A,27,59.88014706
Thiago Mendes,BRA,MF,Lyon,Ligue 1,28,59.87383024
Warren Tchimbembé,CGO,MFFW,Metz,Ligue 1,22,59.86774988
Marco Sau,ITA,MFFW,Benevento,Seria A,32,59.85759599
Bartosz Bialek,POL,FWMF,Wolfsburg,Bundesliga,18,59.84919552
Portu,ESP,FWMF,Real Sociedad,La Liga,28,59.81719149
Edinson Cavani,URU,FW,Manchester Utd,Premier League,33,59.81209635
Sergi Guardiola,ESP,FW,Valladolid,La Liga,29,59.8057728
Stefan Posch,AUT,DF,Hoffenheim,Bundesliga,23,59.8018284
Adam Webster,ENG,DF,Brighton,Premier League,25,59.76948919
Pedro León,ESP,MFFW,Eibar,La Liga,33,59.74942858
Manu Vallejo,ESP,FWMF,Valencia,La Liga,23,59.71984608
Olivier Giroud,FRA,FW,Chelsea,Premier League,33,59.71089601
Andrés Guardado,MEX,MF,Betis,La Liga,33,59.70994291
Simeon Nwankwo,NGA,FW,Crotone,Seria A,28,59.67157454
Valon Berisha,KVX,MF,Reims,Ligue 1,27,59.66651019
Ismaël Traoré,CIV,DF,Angers,Ligue 1,33,59.66547385
Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,22,59.64691214
Keinan Davis,ENG,FWMF,Aston Villa,Premier League,22,59.587471
Simone Bastoni,ITA,DF,Spezia,Seria A,23,59.58489144
Riccardo Improta,ITA,MFDF,Benevento,Seria A,26,59.5723696
Federico Chiesa,ITA,MFDF,Juventus,Seria A,22,59.5553341
Antonin Bobichon,FRA,MFFW,Angers,Ligue 1,24,59.44160136
Daniel Amartey,GHA,DF,Leicester City,Premier League,25,59.41118011
Fernando Llorente,ESP,FWMF,Napoli,Seria A,35,59.39950616
Joseba Zaldúa,ESP,DF,Real Sociedad,La Liga,28,59.39303754
Terem Moffi,NGA,FW,Lorient,Ligue 1,21,59.29298586
Eddie Nketiah,ENG,FW,Arsenal,Premier League,21,59.28119476
Joe Willock,ENG,MF,Newcastle Utd,Premier League,20,59.23217568
Pape Gueye,FRA,MF,Marseille,Ligue 1,21,59.22038745
Walace,BRA,MF,Udinese,Seria A,25,59.16128185
Tete Morente,ESP,MFFW,Elche,La Liga,23,59.13200519
Lee Kangin,KOR,FWMF,Valencia,La Liga,19,59.12961219
Pascal Groß,GER,MFDF,Brighton,Premier League,29,59.09893522
Ante Budimir,CRO,FW,Osasuna,La Liga,29,59.07085635
Wout Weghorst,NED,FW,Wolfsburg,Bundesliga,27,59.06931835
Jay Rodriguez,ENG,FWMF,Burnley,Premier League,31,59.05144447
Benjamin André,FRA,MF,Lille,Ligue 1,29,59.00721649
Irvin Cardona,FRA,FWMF,Brest,Ligue 1,22,59.00256715
Éder Militão,BRA,DF,Real Madrid,La Liga,22,59.00015244
Javairô Dilrosun,NED,FWMF,Hertha BSC,Bundesliga,22,58.92020813
Facundo Roncaglia,ARG,DF,Osasuna,La Liga,33,58.90610386
Harry Maguire,ENG,DF,Manchester Utd,Premier League,27,58.90099028
Marvin Zeegelaar,NED,DF,Udinese,Seria A,29,58.89149966
Miguel Trauco,PER,DF,Saint-Étienne,Ligue 1,27,58.78254496
Allan Nyom,CMR,MFDF,Getafe,La Liga,32,58.74740735
Rodrigo De Paul,ARG,MF,Udinese,Seria A,26,58.73917839
Matthew Lowton,ENG,DF,Burnley,Premier League,31,58.73479674
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,21,58.71731356
David Timor,ESP,MFDF,Getafe,La Liga,30,58.67855036
Simone Zaza,ITA,FW,Torino,Seria A,29,58.67308867
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,26,58.66193401
David Silva,ESP,MF,Real Sociedad,La Liga,34,58.65112819
Robert Snodgrass,SCO,MFFW,West Brom,Premier League,32,58.65023096
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,58.62598521
Luka Jović,SRB,FWMF,Eint Frankfurt,Bundesliga,22,58.58021849
Didier Ibrahim Ndong,GAB,MF,Dijon,Ligue 1,26,58.55815159
Ben Chilwell,ENG,DF,Chelsea,Premier League,23,58.54876238
Denis Cheryshev,RUS,MF,Valencia,La Liga,29,58.54738971
Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,32,58.5469989
Alexander Isak,SWE,FW,Real Sociedad,La Liga,20,58.54578912
Jorge Molina,ESP,FWMF,Granada,La Liga,38,58.53616395
Jack Stephens,ENG,DF,Southampton,Premier League,26,58.52945503
Kevin Agudelo,COL,FW,Spezia,Seria A,21,58.52915361
Frédéric Sammaritano,FRA,FWMF,Dijon,Ligue 1,34,58.52899808
Fouad Chafik,MAR,DF,Dijon,Ligue 1,33,58.51058689
Jota,ESP,MF,Alavés,La Liga,29,58.50607755
Jadon Sancho,ENG,FWMF,Dortmund,Bundesliga,20,58.49762898
Rodrigo Battaglia,ARG,MF,Alavés,La Liga,29,58.49316562
Igor Zubeldia,ESP,DF,Real Sociedad,La Liga,23,58.49176708
Yannick Cahuzac,FRA,MF,Lens,Ligue 1,35,58.46073063
Josip Iličić,SVN,FWMF,Atalanta,Seria A,32,58.43709346
El Bilal Touré,MLI,FWMF,Reims,Ligue 1,18,58.40199284
Bernardo Silva,POR,MFFW,Manchester City,Premier League,25,58.36474931
Jimmy Briand,FRA,FW,Bordeaux,Ligue 1,34,58.34385279
Fabio Quagliarella,ITA,FW,Sampdoria,Seria A,37,58.33431748
Ibrahima Sissoko,FRA,MF,Strasbourg,Ligue 1,22,58.31711622
Tomás Rincón,VEN,MF,Torino,Seria A,32,58.28366867
Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,23,58.26954949
Modibo Sagnan,FRA,DFMF,Real Sociedad,La Liga,21,58.26058218
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,58.24184391
Wilfried Singo,CIV,DF,Torino,Seria A,19,58.20726857
Mattia Bani,ITA,DF,Parma,Seria A,26,58.19329001
Alejandro Pozo Pozo,ESP,DFMF,Eibar,La Liga,21,58.18415013
Benito Raman,BEL,FWMF,Schalke 04,Bundesliga,25,58.14704312
Adrien Tameze,CMR,MF,Hellas Verona,Seria A,26,57.98315457
Hwang Ui-jo,KOR,FWMF,Bordeaux,Ligue 1,27,57.969931
Gastón Brugman,URU,MF,Parma,Seria A,27,57.96429137
Juan Mata,ESP,FWMF,Manchester Utd,Premier League,32,57.95342463
Iñigo Pérez,ESP,MFDF,Osasuna,La Liga,32,57.93804213
Sepe Elye Wahi,FRA,FW,Montpellier,Ligue 1,17,57.93085691
Davie Selke,GER,FW,Werder Bremen,Bundesliga,25,57.91812385
Hugo Guillamón,ESP,DF,Valencia,La Liga,20,57.87056255
Denis Zakaria,SUI,MFDF,M'Gladbach,Bundesliga,23,57.85647974
Ángel Rodríguez,ESP,FWMF,Getafe,La Liga,33,57.81499437
Juanmi,ESP,FWMF,Betis,La Liga,27,57.81437093
Cédric Brunner,SUI,DF,Arminia,Bundesliga,26,57.80096921
Iglesias,ESP,DFMF,Getafe,La Liga,22,57.78700911
Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,25,57.76487599
Roger Ibanez,BRA,DF,Roma,Seria A,21,57.728538
Steve Mounié,BEN,FW,Brest,Ligue 1,25,57.65567925
Mikel Merino,ESP,MF,Real Sociedad,La Liga,24,57.64492592
Hassane Kamara,CIV,DF,Nice,Ligue 1,25,57.60858931
Robin Quaison,SWE,FWMF,Mainz 05,Bundesliga,26,57.58923957
Mehdi Bourabia,MAR,MF,Sassuolo,Seria A,28,57.5875266
Joel Pohjanpalo,FIN,FW,Union Berlin,Bundesliga,25,57.5836647
Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,20,57.57825204
Alessandro Schöpf,AUT,FWMF,Schalke 04,Bundesliga,26,57.55946631
John Brooks,USA,DF,Wolfsburg,Bundesliga,27,57.51465782
Jonathan Calleri,ARG,FW,Osasuna,La Liga,26,57.50304011
Andreas Voglsammer,GER,FWMF,Arminia,Bundesliga,28,57.44876383
Reece Oxford,ENG,DF,Augsburg,Bundesliga,21,57.32335416
Martin Hinteregger,AUT,DF,Eint Frankfurt,Bundesliga,27,57.31132117
Youri Tielemans,BEL,MF,Leicester City,Premier League,23,57.30648761
Roger Assalé,CIV,FWMF,Dijon,Ligue 1,26,57.29774362
Rogério,BRA,DF,Sassuolo,Seria A,22,57.29449801
Luis Suárez,URU,FW,Atlético Madrid,La Liga,33,57.26017782
Chris Wood,NZL,FW,Burnley,Premier League,28,57.25311707
Iago Falque,ESP,MFFW,Benevento,Seria A,30,57.21936653
Fernando,BRA,MF,Sevilla,La Liga,33,57.20967282
Victorien Angban,CIV,MF,Metz,Ligue 1,23,57.18342844
Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,26,57.16492559
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,57.15799258
Jarrod Bowen,ENG,FWMF,West Ham,Premier League,23,57.12948216
Alexis Mac Allister,ARG,MFFW,Brighton,Premier League,21,57.11129869
Joris Chotard,FRA,MF,Montpellier,Ligue 1,18,57.09712131
Moise Kean,ITA,FW,Paris S-G,Ligue 1,20,57.07360253
Danilo D'Ambrosio,ITA,DF,Inter,Seria A,31,57.07254608
Manuel Lanzini,ARG,MFFW,West Ham,Premier League,27,57.05506549
Tahith Chong,NED,FWMF,Werder Bremen,Bundesliga,20,57.0417796
Denis Suárez,ESP,MF,Celta Vigo,La Liga,26,57.01062341
Danilo Larangeira,BRA,DF,Bologna,Seria A,36,56.95125902
Sanjin Prcić,BIH,MF,Strasbourg,Ligue 1,26,56.94552985
Sander Berge,NOR,MF,Sheffield Utd,Premier League,22,56.91645094
Yvan Neyou,CMR,MF,Saint-Étienne,Ligue 1,23,56.90337716
Borja García,ESP,MFFW,Huesca,La Liga,29,56.89563595
Kingsley Ehizibue,NED,DF,Köln,Bundesliga,25,56.88127205
Alberto Perea,ESP,MF,Cádiz,La Liga,29,56.88032352
Manu García,ESP,MF,Alavés,La Liga,34,56.82267146
Khéphren Thuram-Ulie,FRA,MF,Nice,Ligue 1,19,56.80310659
Loris Benito,SUI,DF,Bordeaux,Ligue 1,28,56.79592843
Henry Onyekuru,NGA,FW,Monaco,Ligue 1,23,56.77765508
Unai López,ESP,MF,Athletic Club,La Liga,24,56.76461403
Pedri,ESP,MF,Barcelona,La Liga,17,56.75285443
Adrien Silva,POR,MF,Sampdoria,Seria A,31,56.69348317
Miguel Baeza,ESP,MFFW,Celta Vigo,La Liga,20,56.68180636
Conor Coady,ENG,DF,Wolves,Premier League,27,56.68005886
Emmanuel Rivière,FRA,FWMF,Crotone,Seria A,30,56.65565204
Marshall Munetsi,ZIM,MFDF,Reims,Ligue 1,24,56.64018796
Takumi Minamino,JPN,MFFW,Liverpool,Premier League,25,56.60829342
Felipe Caicedo,ECU,FW,Lazio,Seria A,31,56.58608057
Gabriele Zappa,ITA,DF,Cagliari,Seria A,20,56.57185705
Antonio Sanabria,PAR,FW,Betis,La Liga,24,56.56200856
Zaydou Youssouf,FRA,MF,Saint-Étienne,Ligue 1,21,56.55242584
Josh Brownhill,ENG,MF,Burnley,Premier League,24,56.53369006
Casemiro,BRA,MF,Real Madrid,La Liga,28,56.37825084
John Guidetti,SWE,FWMF,Alavés,La Liga,28,56.33185944
Lois Diony,FRA,FW,Angers,Ligue 1,27,56.32648285
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,56.27827314
Jean Lucas,BRA,MF,Brest,Ligue 1,22,56.24748693
Adrien Truffert,FRA,DFMF,Rennes,Ligue 1,18,56.20721749
Nikola Kalinić,CRO,FW,Hellas Verona,Seria A,32,56.19056494
Nicolò Barella,ITA,MF,Inter,Seria A,23,56.18391734
Dani Escriche,ESP,FWMF,Huesca,La Liga,22,56.18259821
Darío Benedetto,ARG,FW,Marseille,Ligue 1,30,56.13425368
Riccardo Gagliolo,SWE,DF,Parma,Seria A,30,56.11101619
Karlan Grant,ENG,FWMF,West Brom,Premier League,22,56.10317096
Håvard Nordtveit,NOR,DF,Hoffenheim,Bundesliga,30,56.0998713
Eduardo Camavinga,FRA,MF,Rennes,Ligue 1,17,56.08667287
Leonardo Pavoletti,ITA,FW,Cagliari,Seria A,31,56.08032559
Wylan Cyprien,FRA,MF,Parma,Seria A,25,56.06896655
Matthew Hoppe,USA,FW,Schalke 04,Bundesliga,19,56.06162839
Nacho Monreal,ESP,DF,Real Sociedad,La Liga,34,55.99218024
Roque Mesa,ESP,MF,Valladolid,La Liga,31,55.98704395
Artur Ioniță,MDA,MF,Benevento,Seria A,29,55.94606147
Pedro Obiang,EQG,MF,Sassuolo,Seria A,28,55.93880959
Kasper Dolberg,DEN,FW,Nice,Ligue 1,22,55.92832089
Ivan Šaponjić,SRB,FW,Cádiz,La Liga,22,55.92161414
Moussa Koné,SEN,FW,Nîmes,Ligue 1,23,55.9128386
Sergio Escudero,ESP,DF,Sevilla,La Liga,30,55.91122819
Carlos Bacca,COL,FW,Villarreal,La Liga,33,55.76152919
Matteo Ricci,ITA,MF,Spezia,Seria A,26,55.75991863
Maxime Busi,BEL,DF,Parma,Seria A,20,55.75217858
Steven Fortes,CPV,DF,Lens,Ligue 1,28,55.70646097
Manu Trigueros,ESP,MF,Villarreal,La Liga,28,55.68580927
Fabio Depaoli,ITA,DF,Atalanta,Seria A,23,55.67396927
Jessic Ngankam,GER,FW,Hertha BSC,Bundesliga,20,55.66736755
Youssouf Sabaly,SEN,DF,Bordeaux,Ligue 1,27,55.66449166
Raphaël Varane,FRA,DF,Real Madrid,La Liga,27,55.58902388
Moussa Dembélé,FRA,FWMF,Atlético Madrid,La Liga,24,55.58560031
Jonjo Shelvey,ENG,MF,Newcastle Utd,Premier League,28,55.56926289
Waldo Rubio,ESP,FWMF,Valladolid,La Liga,24,55.52488786
Pierre-Yves Hamel,FRA,FW,Lorient,Ligue 1,26,55.50155284
Thomas Lemar,FRA,MFFW,Atlético Madrid,La Liga,24,55.47428833
Erik Pieters,NED,DFMF,Burnley,Premier League,31,55.47374258
Enes Ünal,TUR,FW,Getafe,La Liga,23,55.45831391
Miguel Veloso,POR,MF,Hellas Verona,Seria A,34,55.45009091
Salvi,ESP,MFFW,Cádiz,La Liga,29,55.42215236
Eric Dier,ENG,DF,Tottenham,Premier League,26,55.41417153
Jawad El Yamiq,MAR,DF,Valladolid,La Liga,28,55.41062571
Stefan Ilsanker,AUT,MFDF,Eint Frankfurt,Bundesliga,31,55.40790317
Fabian Klos,GER,FW,Arminia,Bundesliga,32,55.40634238
James Lea Siliki,CMR,MF,Rennes,Ligue 1,24,55.39149184
Jordan Torunarigha,GER,DF,Hertha BSC,Bundesliga,22,55.35553226
Klaas-Jan Huntelaar,NED,FW,Schalke 04,Bundesliga,36,55.33532268
Renan Lodi,BRA,DF,Atlético Madrid,La Liga,22,55.2903232
Nicolás González,ARG,FWDF,Stuttgart,Bundesliga,22,55.26602857
Roger Martí,ESP,FW,Levante,La Liga,29,55.26512658
Patrik Schick,CZE,FW,Leverkusen,Bundesliga,24,55.25620378
Ashley Barnes,ENG,FW,Burnley,Premier League,30,55.25596353
Giovanni Di Lorenzo,ITA,DF,Napoli,Seria A,26,55.21278084
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,55.18718375
Rubén Rochina,ESP,MF,Levante,La Liga,29,55.1749512
Sacha Boey,FRA,DF,Dijon,Ligue 1,19,55.16555454
Luis Milla,ESP,MF,Granada,La Liga,25,55.14358128
Ádám Szalai,HUN,FW,Mainz 05,Bundesliga,32,55.13792359
Youssouf Fofana,FRA,MF,Monaco,Ligue 1,21,55.11643508
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,22,55.08472643
David Luiz,BRA,DF,Arsenal,Premier League,33,55.05622068
Moussa Konaté,SEN,FW,Dijon,Ligue 1,27,55.05244945
João Victor Santos Sá,BRA,FW,Wolfsburg,Bundesliga,26,55.03590321
Valentin Rongier,FRA,MF,Marseille,Ligue 1,25,55.02285914
Niccolò Zanellato,ITA,MF,Crotone,Seria A,22,55.00671828
Paulo Oliveira,POR,DF,Eibar,La Liga,28,54.9653711
Roberto Piccoli,ITA,FW,Spezia,Seria A,19,54.94890789
Facundo Medina,ARG,DF,Lens,Ligue 1,21,54.89192977
Michael Gregoritsch,AUT,FWMF,Augsburg,Bundesliga,26,54.89132013
Kyle Bartley,ENG,DF,West Brom,Premier League,29,54.85414969
Jean-Manuel Mbom,GER,MFDF,Werder Bremen,Bundesliga,20,54.84754935
Darnell Furlong,ENG,DF,West Brom,Premier League,24,54.81655834
Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,23,54.73100288
Domingos Duarte,POR,DF,Granada,La Liga,25,54.71288263
Mario Hermoso,ESP,DF,Atlético Madrid,La Liga,25,54.70164352
Nemanja Maksimović,SRB,MF,Getafe,La Liga,25,54.68522316
Ivan Radovanović,SRB,DFMF,Genoa,Seria A,31,54.66670539
Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,22,54.64906726
Rubén Duarte,ESP,DF,Alavés,La Liga,24,54.64140875
Juan Carlos,ESP,MFFW,Huesca,La Liga,29,54.64130183
Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,22,54.62182022
Iván Alejo,ESP,MFFW,Cádiz,La Liga,25,54.59240482
Michy Batshuayi,BEL,FW,Crystal Palace,Premier League,26,54.57013757
Kevin Lasagna,ITA,FW,Udinese,Seria A,27,54.55261944
Aïssa Mandi,ALG,DF,Betis,La Liga,28,54.5437485
Dani Gómez,ESP,FW,Levante,La Liga,22,54.54010449
Hugo Magnetti,FRA,MF,Brest,Ligue 1,22,54.47250501
Danny Welbeck,ENG,FW,Brighton,Premier League,29,54.43844603
Eric Maxim Choupo-Moting,CMR,FWMF,Bayern Munich,Bundesliga,31,54.43378006
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,54.41713151
Raúl Albiol,ESP,DF,Villarreal,La Liga,34,54.3881967
Tony Mauricio,FRA,MF,Lens,Ligue 1,26,54.3779516
Brandon Soppy,FRA,DF,Rennes,Ligue 1,18,54.3532115
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,54.29945624
Martin Braithwaite,DEN,FW,Barcelona,La Liga,29,54.26090185
Aaron Leya Iseka,BEL,FW,Metz,Ligue 1,22,54.2050232
Erling Haaland,NOR,FW,Dortmund,Bundesliga,20,54.19616282
Pascal Struijk,NED,DFMF,Leeds United,Premier League,20,54.18886598
Borja Mayoral,ESP,FW,Real Madrid,La Liga,23,54.1694076
Gerzino Nyamsi,FRA,DF,Rennes,Ligue 1,23,54.14215334
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,54.13267285
Ferland Mendy,FRA,DF,Real Madrid,La Liga,25,54.12123585
