Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Lukas Lerager,DEN,MF,Genoa,Seria A,27,74.17789319
Aleksei Miranchuk,RUS,FWMF,Atalanta,Seria A,24,74.15592331
Bertrand Traoré,BFA,FW,Aston Villa,Premier League,24,74.14288106
Armand Lauriente,FRA,FWMF,Lorient,Ligue 1,21,74.12174078
Seko Fofana,CIV,MF,Lens,Ligue 1,25,74.09649638
Arnaud Kalimuendo,FRA,FW,Paris S-G,Ligue 1,18,74.07598604
Andrej Kramarić,CRO,FWMF,Hoffenheim,Bundesliga,29,74.06380907
Roberto López,ESP,MFFW,Real Sociedad,La Liga,20,73.98388
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,26,73.97866452
Paulinho,BRA,FW,Leverkusen,Bundesliga,20,73.97830713
Joelinton,BRA,FWMF,Newcastle Utd,Premier League,23,73.96680004
Houssem Aouar,FRA,MFFW,Lyon,Ligue 1,22,73.91186093
Juan Brunetta,ARG,FWMF,Parma,Seria A,23,73.87678619
Joshua King,NOR,MFFW,Everton,Premier League,28,73.84812817
Christopher Trimmel,AUT,DF,Union Berlin,Bundesliga,33,73.82567097
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,73.8223626
Baptiste Santamaria,FRA,MF,Freiburg,Bundesliga,25,73.80380753
Jony,ESP,MFFW,Osasuna,La Liga,29,73.76622216
Mason Holgate,ENG,DF,Everton,Premier League,23,73.71728325
Adam Ounas,ALG,MFFW,Cagliari,Seria A,23,73.70315038
Breel Embolo,SUI,FWMF,M'Gladbach,Bundesliga,23,73.69564485
Timothy Castagne,BEL,DF,Leicester City,Premier League,24,73.69484461
Bernard,BRA,MFFW,Everton,Premier League,27,73.66014047
Robert Gumny,POL,DF,Augsburg,Bundesliga,22,73.62566209
Saidy Janko,GAM,DF,Valladolid,La Liga,24,73.60836117
Marc Cucurella,ESP,MF,Getafe,La Liga,22,73.5755
Timo Werner,GER,FW,Chelsea,Premier League,24,73.57059214
Romain Del Castillo,FRA,MFFW,Rennes,Ligue 1,24,73.50323793
Christian Günter,GER,DF,Freiburg,Bundesliga,27,73.4396122
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,22,73.43231474
Luca Marrone,ITA,DF,Crotone,Seria A,30,73.39945865
Jan Bednarek,POL,DF,Southampton,Premier League,24,73.38999248
Remi Oudin,FRA,FWMF,Bordeaux,Ligue 1,23,73.38924653
Jordan Ferri,FRA,MF,Montpellier,Ligue 1,28,73.38568055
Lassana Coulibaly,MLI,MFFW,Angers,Ligue 1,24,73.36128006
Fabien Centonze,FRA,DF,Metz,Ligue 1,24,73.31595046
Ousmane Dembélé,FRA,FWDF,Barcelona,La Liga,23,73.28618709
Nemanja Radonjić,SRB,FW,Marseille,Ligue 1,24,73.28199483
Amin Younes,GER,MFFW,Eint Frankfurt,Bundesliga,26,73.26050487
Erik Durm,GER,DF,Eint Frankfurt,Bundesliga,28,73.25588476
Jordan Veretout,FRA,MF,Roma,Seria A,27,73.23585794
Manuel Lazzari,ITA,DF,Lazio,Seria A,26,73.19942351
Robin Gosens,GER,DF,Atalanta,Seria A,26,73.1981773
Angeliño,ESP,DFFW,RB Leipzig,Bundesliga,23,73.16621905
Junior Dina Ebimbe,FRA,FWMF,Dijon,Ligue 1,19,73.11583366
Massadio Haïdara,MLI,DF,Lens,Ligue 1,27,73.11033098
Rúben Vezo,POR,DF,Levante,La Liga,26,73.09706893
Christopher Lenz,GER,DF,Union Berlin,Bundesliga,25,73.09078039
David Ferreiro,ESP,MFFW,Huesca,La Liga,32,73.08532556
Joakim Mæhle,DEN,DF,Atalanta,Seria A,23,73.06947086
Mehdi Chahiri,MAR,FWMF,Strasbourg,Ligue 1,24,73.04318268
Hugo Mallo,ESP,DF,Celta Vigo,La Liga,29,72.97587189
Julian Draxler,GER,MFFW,Paris S-G,Ligue 1,26,72.97308379
Marius Wolf,GER,DFMF,Köln,Bundesliga,25,72.96679264
Roberto Pereyra,ARG,MFFW,Udinese,Seria A,29,72.90527173
Uroš Račić,SRB,MF,Valencia,La Liga,22,72.89864579
Mateusz Klich,POL,MF,Leeds United,Premier League,30,72.85536885
Pedro Pereira,POR,DF,Crotone,Seria A,22,72.85411818
Ghislain Konan,CIV,DF,Reims,Ligue 1,24,72.84182996
Gabriel Jesus,BRA,FW,Manchester City,Premier League,23,72.82250563
Morgan Sanson,FRA,MF,Aston Villa,Premier League,25,72.78753594
Mark Uth,GER,FWMF,Schalke 04,Bundesliga,28,72.77548164
Leonardo Bittencourt,GER,MFFW,Werder Bremen,Bundesliga,26,72.76726602
Renaud Ripart,FRA,MFFW,Nîmes,Ligue 1,27,72.74444644
Manuel Sánchez,ESP,DF,Atlético Madrid,La Liga,19,72.71954179
Valentino Lazaro,AUT,DFFW,M'Gladbach,Bundesliga,24,72.65041134
Vitorino Hilton,BRA,DF,Montpellier,Ligue 1,42,72.64782458
Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,27,72.59696002
Nélson Semedo,POR,DF,Wolves,Premier League,26,72.59183881
Leonardo Spinazzola,ITA,DF,Roma,Seria A,27,72.57119397
Aleksandr Golovin,RUS,MFFW,Monaco,Ligue 1,24,72.53509148
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,25,72.50365661
Yuya Osako,JPN,MFFW,Werder Bremen,Bundesliga,30,72.49885639
Riccardo Saponara,ITA,FWMF,Spezia,Seria A,28,72.42931629
Denis Vavro,SVK,DF,Huesca,La Liga,24,72.41591401
Mathieu Cafaro,FRA,MFFW,Reims,Ligue 1,23,72.39940762
Grady Diangana,ENG,MFFW,West Brom,Premier League,22,72.37462217
Antonio Candreva,ITA,MF,Sampdoria,Seria A,33,72.3088859
Donny van de Beek,NED,MFFW,Manchester Utd,Premier League,23,72.27178693
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29,72.2652889
